site_id,measured_at,outdoor_temp,supply_temp,humidity,hour,is_weekend,demand_level
SITE-002,2026-01-02 22:00:00,-3.08,71.05,75.84,22,False,HIGH
SITE-003,2026-01-02 22:00:00,-6.61,71.68,75.25,22,False,HIGH
SITE-001,2026-01-02 23:00:00,-4.8,76.53,64.65,23,False,HIGH
SITE-002,2026-01-02 23:00:00,-7.59,74.41,69.49,23,False,HIGH
SITE-003,2026-01-02 23:00:00,-6.42,72.54,62.95,23,False,HIGH
SITE-001,2026-01-03 00:00:00,-7.62,73.82,74.1,0,True,HIGH
SITE-002,2026-01-03 00:00:00,-6.55,74.21,81.24,0,True,HIGH
SITE-003,2026-01-03 00:00:00,-5.62,70.15,69.97,0,True,MEDIUM
SITE-001,2026-01-03 01:00:00,-6.29,75.42,73.73,1,True,HIGH
SITE-002,2026-01-03 01:00:00,-5.57,71.35,78.87,1,True,HIGH
SITE-003,2026-01-03 01:00:00,-6.37,76.47,70.12,1,True,HIGH
SITE-001,2026-01-03 02:00:00,-3.87,70.16,72.46,2,True,HIGH
SITE-002,2026-01-03 02:00:00,-6.14,70.87,67.46,2,True,HIGH
SITE-003,2026-01-03 02:00:00,-4.8,70.97,72.25,2,True,MEDIUM
SITE-001,2026-01-03 03:00:00,-5.81,72.88,70.07,3,True,HIGH
SITE-002,2026-01-03 03:00:00,-4.65,71.84,66.86,3,True,MEDIUM
SITE-003,2026-01-03 03:00:00,-4.63,71.53,72.44,3,True,MEDIUM
SITE-001,2026-01-03 04:00:00,-5.45,74.52,70.21,4,True,HIGH
SITE-002,2026-01-03 04:00:00,-5.39,74.66,72.26,4,True,HIGH
SITE-003,2026-01-03 04:00:00,-3.58,70.7,70.54,4,True,MEDIUM
SITE-001,2026-01-03 05:00:00,-2.04,69.86,66.88,5,True,MEDIUM
SITE-002,2026-01-03 05:00:00,-0.62,68.31,63.18,5,True,MEDIUM
SITE-003,2026-01-03 05:00:00,-1.18,69.53,61.48,5,True,LOW
SITE-001,2026-01-03 06:00:00,-1.96,71.16,66.96,6,True,HIGH
SITE-002,2026-01-03 06:00:00,0.59,68.14,60.41,6,True,MEDIUM
SITE-003,2026-01-03 06:00:00,0.82,67.17,64.22,6,True,MEDIUM
SITE-001,2026-01-03 07:00:00,-0.19,70.13,62.0,7,True,MEDIUM
SITE-002,2026-01-03 07:00:00,0.9,67.46,56.13,7,True,MEDIUM
SITE-003,2026-01-03 07:00:00,-0.55,64.81,63.26,7,True,MEDIUM
SITE-001,2026-01-03 08:00:00,3.11,64.91,57.81,8,True,LOW
SITE-002,2026-01-03 08:00:00,1.91,66.55,50.25,8,True,MEDIUM
SITE-003,2026-01-03 08:00:00,1.72,65.83,58.28,8,True,LOW
SITE-001,2026-01-03 09:00:00,4.56,64.06,55.78,9,True,LOW
SITE-002,2026-01-03 09:00:00,3.46,64.4,63.68,9,True,LOW
SITE-003,2026-01-03 09:00:00,2.2,65.61,51.09,9,True,LOW
SITE-001,2026-01-03 10:00:00,2.65,65.14,50.85,10,True,LOW
SITE-002,2026-01-03 10:00:00,2.56,65.96,51.91,10,True,LOW
SITE-003,2026-01-03 10:00:00,4.65,62.9,58.52,10,True,LOW
SITE-001,2026-01-03 11:00:00,4.55,64.23,57.72,11,True,LOW
SITE-002,2026-01-03 11:00:00,6.02,61.97,51.71,11,True,LOW
SITE-003,2026-01-03 11:00:00,5.93,61.26,54.56,11,True,LOW
SITE-001,2026-01-03 12:00:00,7.48,63.48,56.59,12,True,LOW
SITE-002,2026-01-03 12:00:00,9.4,58.98,43.16,12,True,LOW
SITE-003,2026-01-03 12:00:00,6.85,58.79,53.72,12,True,LOW
SITE-001,2026-01-03 13:00:00,5.38,62.52,53.11,13,True,LOW
SITE-002,2026-01-03 13:00:00,4.2,63.44,56.37,13,True,LOW
SITE-003,2026-01-03 13:00:00,3.59,62.76,50.33,13,True,LOW
SITE-001,2026-01-03 14:00:00,3.51,66.78,66.75,14,True,LOW
SITE-002,2026-01-03 14:00:00,3.19,63.36,58.87,14,True,LOW
SITE-003,2026-01-03 14:00:00,3.0,66.59,60.92,14,True,LOW
SITE-001,2026-01-03 15:00:00,2.14,67.82,58.49,15,True,MEDIUM
SITE-002,2026-01-03 15:00:00,3.4,65.0,51.96,15,True,LOW
SITE-003,2026-01-03 15:00:00,0.71,64.31,59.07,15,True,LOW
SITE-001,2026-01-03 16:00:00,4.54,64.25,63.17,16,True,LOW
SITE-002,2026-01-03 16:00:00,3.04,64.64,62.39,16,True,LOW
SITE-003,2026-01-03 16:00:00,4.86,62.0,54.8,16,True,LOW
SITE-001,2026-01-03 17:00:00,1.59,67.39,56.36,17,True,MEDIUM
SITE-002,2026-01-03 17:00:00,0.56,68.6,69.6,17,True,MEDIUM
SITE-003,2026-01-03 17:00:00,-0.22,68.88,62.11,17,True,MEDIUM
SITE-001,2026-01-03 18:00:00,1.23,67.66,55.54,18,True,HIGH
SITE-002,2026-01-03 18:00:00,-2.92,67.85,72.42,18,True,HIGH
SITE-003,2026-01-03 18:00:00,-0.72,63.01,67.44,18,True,MEDIUM
SITE-001,2026-01-03 19:00:00,-2.6,70.2,67.3,19,True,HIGH
SITE-002,2026-01-03 19:00:00,-3.34,69.74,66.74,19,True,HIGH
SITE-003,2026-01-03 19:00:00,-1.22,67.21,70.69,19,True,MEDIUM
SITE-001,2026-01-03 20:00:00,-3.17,71.98,66.9,20,True,HIGH
SITE-002,2026-01-03 20:00:00,-2.78,69.07,63.79,20,True,MEDIUM
SITE-003,2026-01-03 20:00:00,-1.84,70.48,65.38,20,True,MEDIUM
SITE-001,2026-01-03 21:00:00,-6.4,76.1,68.9,21,True,HIGH
SITE-002,2026-01-03 21:00:00,-5.66,72.83,71.34,21,True,HIGH
SITE-003,2026-01-03 21:00:00,-4.75,67.49,68.68,21,True,HIGH
SITE-001,2026-01-03 22:00:00,-6.19,73.04,78.12,22,True,HIGH
SITE-002,2026-01-03 22:00:00,-3.79,70.45,62.72,22,True,HIGH
SITE-003,2026-01-03 22:00:00,-5.61,72.43,65.35,22,True,HIGH
SITE-001,2026-01-03 23:00:00,-4.21,77.54,72.09,23,True,HIGH
SITE-002,2026-01-03 23:00:00,-5.77,74.93,67.97,23,True,HIGH
SITE-003,2026-01-03 23:00:00,-4.84,70.34,67.64,23,True,MEDIUM
SITE-001,2026-01-04 00:00:00,-3.87,72.29,71.22,0,True,HIGH
SITE-002,2026-01-04 00:00:00,-5.02,70.08,74.93,0,True,MEDIUM
SITE-003,2026-01-04 00:00:00,-5.69,73.65,73.52,0,True,MEDIUM
SITE-001,2026-01-04 01:00:00,-5.56,75.25,80.73,1,True,HIGH
SITE-002,2026-01-04 01:00:00,-5.74,75.87,75.26,1,True,HIGH
SITE-003,2026-01-04 01:00:00,-4.25,71.81,66.3,1,True,MEDIUM
SITE-001,2026-01-04 02:00:00,-6.06,73.64,77.08,2,True,HIGH
SITE-002,2026-01-04 02:00:00,-5.15,73.1,78.98,2,True,HIGH
SITE-003,2026-01-04 02:00:00,-6.03,70.76,72.96,2,True,MEDIUM
SITE-001,2026-01-04 03:00:00,-3.26,74.31,68.06,3,True,HIGH
SITE-002,2026-01-04 03:00:00,-4.5,71.08,75.31,3,True,MEDIUM
SITE-003,2026-01-04 03:00:00,-2.7,66.28,68.98,3,True,MEDIUM
SITE-001,2026-01-04 04:00:00,-3.59,71.34,75.73,4,True,MEDIUM
SITE-002,2026-01-04 04:00:00,-4.2,70.73,65.51,4,True,MEDIUM
SITE-003,2026-01-04 04:00:00,-4.35,68.77,63.53,4,True,MEDIUM
SITE-001,2026-01-04 05:00:00,-2.39,69.51,64.1,5,True,MEDIUM
SITE-002,2026-01-04 05:00:00,-1.83,68.95,64.19,5,True,MEDIUM
SITE-003,2026-01-04 05:00:00,-1.48,64.55,67.27,5,True,LOW
SITE-001,2026-01-04 06:00:00,-2.94,72.4,65.99,6,True,HIGH
SITE-002,2026-01-04 06:00:00,0.29,68.6,58.44,6,True,MEDIUM
SITE-003,2026-01-04 06:00:00,-0.64,68.48,65.71,6,True,MEDIUM
SITE-001,2026-01-04 07:00:00,3.44,65.43,55.84,7,True,LOW
SITE-002,2026-01-04 07:00:00,3.23,63.33,56.35,7,True,MEDIUM
SITE-003,2026-01-04 07:00:00,2.59,62.62,59.29,7,True,LOW
SITE-001,2026-01-04 08:00:00,1.7,69.23,55.59,8,True,MEDIUM
SITE-002,2026-01-04 08:00:00,3.13,68.26,59.83,8,True,MEDIUM
SITE-003,2026-01-04 08:00:00,-0.02,67.22,59.69,8,True,MEDIUM
SITE-001,2026-01-04 09:00:00,4.78,64.4,47.51,9,True,MEDIUM
SITE-002,2026-01-04 09:00:00,5.46,62.5,61.71,9,True,LOW
SITE-003,2026-01-04 09:00:00,5.66,63.09,58.74,9,True,LOW
SITE-001,2026-01-04 10:00:00,3.55,67.48,51.54,10,True,LOW
SITE-002,2026-01-04 10:00:00,4.46,63.4,53.55,10,True,LOW
SITE-003,2026-01-04 10:00:00,3.27,64.53,58.05,10,True,LOW
SITE-001,2026-01-04 11:00:00,4.17,68.26,59.48,11,True,LOW
SITE-002,2026-01-04 11:00:00,6.54,58.14,56.09,11,True,LOW
SITE-003,2026-01-04 11:00:00,4.29,63.52,59.26,11,True,LOW
SITE-001,2026-01-04 12:00:00,6.02,62.66,49.77,12,True,LOW
SITE-002,2026-01-04 12:00:00,5.06,63.71,54.43,12,True,LOW
SITE-003,2026-01-04 12:00:00,6.35,63.71,56.51,12,True,LOW
SITE-001,2026-01-04 13:00:00,5.31,65.34,57.19,13,True,LOW
SITE-002,2026-01-04 13:00:00,6.63,64.99,59.26,13,True,LOW
SITE-003,2026-01-04 13:00:00,5.48,62.17,55.9,13,True,LOW
SITE-001,2026-01-04 14:00:00,4.41,67.87,55.17,14,True,LOW
SITE-002,2026-01-04 14:00:00,4.63,64.06,59.11,14,True,LOW
SITE-003,2026-01-04 14:00:00,4.48,63.02,50.96,14,True,LOW
SITE-001,2026-01-04 15:00:00,3.95,67.02,51.96,15,True,LOW
SITE-002,2026-01-04 15:00:00,4.03,65.0,56.15,15,True,LOW
SITE-003,2026-01-04 15:00:00,2.38,65.48,58.6,15,True,LOW
SITE-001,2026-01-04 16:00:00,1.36,67.29,61.35,16,True,LOW
SITE-002,2026-01-04 16:00:00,2.97,67.13,57.42,16,True,LOW
SITE-003,2026-01-04 16:00:00,3.45,62.73,58.76,16,True,LOW
SITE-001,2026-01-04 17:00:00,-0.51,68.04,75.33,17,True,HIGH
SITE-002,2026-01-04 17:00:00,0.83,66.38,60.55,17,True,MEDIUM
SITE-003,2026-01-04 17:00:00,0.06,66.86,57.34,17,True,MEDIUM
SITE-001,2026-01-04 18:00:00,-0.97,69.2,65.42,18,True,HIGH
SITE-002,2026-01-04 18:00:00,-0.61,66.56,64.88,18,True,MEDIUM
SITE-003,2026-01-04 18:00:00,-0.64,68.17,65.65,18,True,MEDIUM
SITE-001,2026-01-04 19:00:00,-1.3,72.39,63.53,19,True,HIGH
SITE-002,2026-01-04 19:00:00,-0.98,67.23,59.85,19,True,MEDIUM
SITE-003,2026-01-04 19:00:00,-1.85,67.42,67.76,19,True,MEDIUM
SITE-001,2026-01-04 20:00:00,-2.87,71.07,59.53,20,True,MEDIUM
SITE-002,2026-01-04 20:00:00,-3.77,70.48,66.84,20,True,HIGH
SITE-003,2026-01-04 20:00:00,-3.34,72.36,65.97,20,True,HIGH
SITE-001,2026-01-04 21:00:00,-5.36,71.6,76.6,21,True,HIGH
SITE-002,2026-01-04 21:00:00,-2.16,70.81,57.5,21,True,MEDIUM
SITE-003,2026-01-04 21:00:00,-4.17,73.4,68.95,21,True,HIGH
SITE-001,2026-01-04 22:00:00,-4.94,73.26,73.41,22,True,HIGH
SITE-002,2026-01-04 22:00:00,-4.92,73.76,71.25,22,True,HIGH
SITE-003,2026-01-04 22:00:00,-5.39,71.7,72.92,22,True,HIGH
SITE-001,2026-01-04 23:00:00,-5.41,72.87,68.87,23,True,HIGH
SITE-002,2026-01-04 23:00:00,-6.7,74.36,78.38,23,True,HIGH
SITE-003,2026-01-04 23:00:00,-5.05,72.79,71.75,23,True,MEDIUM
SITE-001,2026-01-05 00:00:00,-6.0,73.69,69.77,0,False,HIGH
SITE-002,2026-01-05 00:00:00,-6.46,73.83,74.47,0,False,HIGH
SITE-003,2026-01-05 00:00:00,-6.45,72.15,74.7,0,False,HIGH
SITE-001,2026-01-05 01:00:00,-5.54,72.58,70.81,1,False,HIGH
SITE-002,2026-01-05 01:00:00,-4.34,72.1,70.11,1,False,HIGH
SITE-003,2026-01-05 01:00:00,-5.39,74.44,75.2,1,False,HIGH
SITE-001,2026-01-05 02:00:00,-4.26,72.53,73.32,2,False,HIGH
SITE-002,2026-01-05 02:00:00,-3.71,74.02,62.65,2,False,HIGH
SITE-003,2026-01-05 02:00:00,-4.57,73.84,70.51,2,False,MEDIUM
SITE-001,2026-01-05 03:00:00,-5.3,73.57,69.08,3,False,HIGH
SITE-002,2026-01-05 03:00:00,-3.72,70.13,69.49,3,False,HIGH
SITE-003,2026-01-05 03:00:00,-5.57,72.68,66.81,3,False,HIGH
SITE-001,2026-01-05 04:00:00,-2.25,69.67,64.12,4,False,MEDIUM
SITE-002,2026-01-05 04:00:00,-3.57,70.49,70.81,4,False,HIGH
SITE-003,2026-01-05 04:00:00,-2.04,70.29,70.43,4,False,MEDIUM
SITE-001,2026-01-05 05:00:00,-0.48,69.24,61.71,5,False,MEDIUM
SITE-002,2026-01-05 05:00:00,-1.06,69.55,62.0,5,False,MEDIUM
SITE-003,2026-01-05 05:00:00,-3.03,69.3,63.79,5,False,MEDIUM
SITE-001,2026-01-05 06:00:00,0.23,69.06,58.01,6,False,MEDIUM
SITE-002,2026-01-05 06:00:00,-2.56,68.34,69.96,6,False,HIGH
SITE-003,2026-01-05 06:00:00,-1.67,68.01,60.04,6,False,MEDIUM
SITE-001,2026-01-05 07:00:00,2.65,66.43,60.56,7,False,MEDIUM
SITE-002,2026-01-05 07:00:00,2.81,64.86,60.15,7,False,MEDIUM
SITE-003,2026-01-05 07:00:00,3.59,66.52,59.9,7,False,MEDIUM
SITE-001,2026-01-05 08:00:00,3.83,64.08,52.51,8,False,MEDIUM
SITE-002,2026-01-05 08:00:00,0.81,68.58,59.34,8,False,MEDIUM
SITE-003,2026-01-05 08:00:00,3.45,63.25,52.08,8,False,LOW
SITE-001,2026-01-05 09:00:00,4.21,67.96,57.42,9,False,MEDIUM
SITE-002,2026-01-05 09:00:00,2.91,64.46,63.61,9,False,MEDIUM
SITE-003,2026-01-05 09:00:00,3.98,61.82,60.92,9,False,LOW
SITE-001,2026-01-05 10:00:00,5.48,63.95,57.47,10,False,LOW
SITE-002,2026-01-05 10:00:00,4.0,64.93,61.19,10,False,LOW
SITE-003,2026-01-05 10:00:00,5.34,61.76,55.17,10,False,LOW
SITE-001,2026-01-05 11:00:00,5.13,67.12,49.02,11,False,LOW
SITE-002,2026-01-05 11:00:00,4.62,64.72,60.18,11,False,LOW
SITE-003,2026-01-05 11:00:00,7.24,59.02,50.17,11,False,LOW
SITE-001,2026-01-05 12:00:00,6.58,61.38,51.17,12,False,LOW
SITE-002,2026-01-05 12:00:00,6.31,63.49,47.41,12,False,LOW
SITE-003,2026-01-05 12:00:00,5.04,61.61,50.44,12,False,LOW
SITE-001,2026-01-05 13:00:00,4.71,65.4,58.36,13,False,LOW
SITE-002,2026-01-05 13:00:00,6.76,62.04,50.7,13,False,LOW
SITE-003,2026-01-05 13:00:00,7.5,62.43,54.6,13,False,LOW
SITE-001,2026-01-05 14:00:00,6.18,64.96,45.97,14,False,LOW
SITE-002,2026-01-05 14:00:00,4.98,62.88,52.93,14,False,LOW
SITE-003,2026-01-05 14:00:00,5.92,62.1,47.54,14,False,LOW
SITE-001,2026-01-05 15:00:00,2.91,66.09,59.91,15,False,LOW
SITE-002,2026-01-05 15:00:00,3.13,65.17,59.12,15,False,LOW
SITE-003,2026-01-05 15:00:00,3.04,64.97,57.4,15,False,LOW
SITE-001,2026-01-05 16:00:00,3.52,70.13,54.08,16,False,LOW
SITE-002,2026-01-05 16:00:00,1.98,64.86,60.61,16,False,MEDIUM
SITE-003,2026-01-05 16:00:00,5.09,62.78,53.3,16,False,LOW
SITE-001,2026-01-05 17:00:00,1.62,69.08,66.14,17,False,MEDIUM
